,model,task,step,example_id,ade,fde
137,offline,1,513,37,0.06656759249600694,0.17921417407836468
138,offline,1,513,38,0.05661893466518233,0.09487813657088304
139,offline,1,513,39,0.13089269875183637,0.3038503976183023
140,offline,1,513,40,0.10265521488643355,0.167529350175988
141,offline,1,513,41,0.09979637384119054,0.2989681072308159
142,offline,1,513,42,0.26170364614930086,0.5978773522552749
143,offline,1,513,43,0.07729375194234338,0.1753985296640656
144,offline,1,513,44,0.13128154826000304,0.34877893456971326
145,offline,1,513,45,0.12376220174609545,0.22681204727389756
146,offline,1,513,46,0.13041773320156355,0.17759900397817138
147,offline,1,513,47,0.08761980165686083,0.14131668079168344
148,offline,1,513,48,0.08197601968790265,0.0646829680165205
149,offline,1,513,49,0.07539421721843301,0.07879891650613914
150,offline,1,513,50,0.11610288566412626,0.22555743335063577
151,offline,1,513,51,0.12725808093356455,0.2885094308757084
152,offline,1,513,52,0.1975342621357574,0.39039936418354915
153,offline,1,513,53,0.07312055358333243,0.11564823624315605
154,offline,1,513,54,0.08235256821931371,0.14839705774542014
155,offline,1,513,55,0.1306688190288379,0.22838399952506994
156,offline,1,513,56,0.08391535196235939,0.14273397505236857
157,offline,1,513,57,0.07651812012765438,0.08058713404766374
158,offline,1,513,58,0.12658655930094012,0.2752795688727958
159,offline,1,513,59,0.0857628423474142,0.20638014428825585
160,offline,1,513,60,0.040023287527072786,0.018008468771046924
161,offline,1,513,61,0.06600909999944053,0.08716728233419153
162,offline,1,513,62,0.12773562021418353,0.19110078926619314
163,offline,1,513,63,0.10969749003824356,0.23935208593553617
164,offline,1,513,64,0.0749313064930789,0.2842590212893644
165,offline,1,513,65,0.06031092250039854,0.11192575005102111
166,offline,1,513,66,0.0809951287279305,0.2595503629009939
167,offline,1,513,67,0.15724535382119567,0.24650326960774038
168,offline,1,513,68,0.06287270377780489,0.13222001870445407
169,offline,1,513,69,0.04914992204795741,0.10085651718805361
170,offline,1,513,70,0.11604252578794844,0.11715377048200827
171,offline,1,513,71,0.08634615968009678,0.0507237910051723
172,offline,1,513,72,0.09818193591481013,0.09903424533797517
173,offline,1,513,73,0.15812765533383907,0.3249492077391501
174,offline,1,513,74,0.07332814806818651,0.15188178540901423
175,offline,1,513,75,0.2222169875455258,0.5619723293937406
176,offline,1,513,76,0.08851936146814543,0.20010193083336414
177,offline,1,513,77,0.12482402566259838,0.30689650241597183
178,offline,1,513,78,0.10670858629457461,0.2518996432525495
179,offline,1,513,79,0.08500029154861734,0.1921954643553857
180,offline,1,513,80,0.14519531762590182,0.236893058030018
181,offline,1,513,81,0.03973785341810723,0.08806107475309655
182,offline,1,513,82,0.10290479340872531,0.2548061980672638
183,offline,1,513,83,0.09601979149802722,0.15153696453207774
184,offline,1,513,84,0.04425840005284457,0.03992021760920477
185,offline,1,513,85,0.10488422371210632,0.16593929684276898
