,model,task,step,example_id,ade,fde
6582,ewc,0,700,82,0.07575797098661509,0.15905304380662696
6583,ewc,0,700,83,0.06990701249255903,0.14099148484437518
6584,ewc,0,700,84,0.3769416740239779,0.8644296937505828
6585,ewc,0,700,85,0.07010158301216915,0.1658775655787236
6586,ewc,0,700,86,0.0750256790269281,0.14589446616496124
6587,ewc,0,700,87,0.06350620788237006,0.15770647249724912
6588,ewc,0,700,88,0.11743634159863667,0.3524339462210143
6589,ewc,0,700,89,0.052787874258923666,0.11216789266948361
6590,ewc,0,700,90,0.17341792517711674,0.34691760991926074
6591,ewc,0,700,91,0.11739218479882399,0.18677969401210018
6592,ewc,0,700,92,0.08180738437206451,0.16748438215669723
6593,ewc,0,700,93,0.0476276328350627,0.12895886877285856
6594,ewc,0,700,94,0.06469301390239791,0.18158678213217622
6595,ewc,0,700,95,0.08067454685185199,0.10414010218037857
6596,ewc,0,700,96,0.07284749729179656,0.1734616318038641
6597,ewc,0,700,97,0.13653059943374055,0.3066957954674991
6598,ewc,0,700,98,0.08978340752528344,0.26096668970512377
6599,ewc,0,700,99,0.18404687855557775,0.5235098000867435
6600,ewc,4,750,0,0.19572478703464388,0.4377995238652751
6601,ewc,4,750,1,1.6273479025366162,3.5736452366155222
6602,ewc,4,750,2,0.1337595492647967,0.3079772474637812
6603,ewc,4,750,3,0.1591170240738278,0.3332780704125086
6604,ewc,4,750,4,0.10442519560874712,0.22908814230569136
6605,ewc,4,750,5,0.10166091775448688,0.23394570772091108
6606,ewc,4,750,6,0.11024741265770338,0.2373631654903832
6607,ewc,4,750,7,0.11890548758163554,0.25963917663880065
6608,ewc,4,750,8,0.18594377625389694,0.42485550158688695
6609,ewc,4,750,9,0.133057515909885,0.29965690298656394
6610,ewc,4,750,10,0.22344433068217892,0.41428680619738567
6611,ewc,4,750,11,0.20907115125026204,0.4892725754609944
6612,ewc,4,750,12,0.19811327810833276,0.46273628956750906
6613,ewc,4,750,13,0.0467993773424508,0.10362123103071959
6614,ewc,4,750,14,0.060790850999474635,0.1518062766734711
6615,ewc,4,750,15,0.1933139769230662,0.45194916208075364
6616,ewc,4,750,16,0.1881371226704699,0.40426319625278023
6617,ewc,4,750,17,0.21880772862414247,0.49446601389953965
6618,ewc,4,750,18,0.17538568588149805,0.35872031188901377
6619,ewc,4,750,19,0.11728627738293926,0.2542097537217552
6620,ewc,4,750,20,0.10262263088173959,0.23286645019720692
6621,ewc,4,750,21,0.19115323929710884,0.527208246181916
6622,ewc,4,750,22,0.09077936387301734,0.20575695877806177
6623,ewc,4,750,23,0.14623850854910492,0.3211082350193968
6624,ewc,4,750,24,0.1877384908248075,0.42776182646221284
6625,ewc,4,750,25,0.13302216748373683,0.16901963510295712
6626,ewc,4,750,26,0.21917359034531106,0.5383884275806814
6627,ewc,4,750,27,0.08250230880280278,0.16586595961167816
6628,ewc,4,750,28,0.17006761754457872,0.3800927313387251
6629,ewc,4,750,29,0.09006760621109312,0.1950138617988247
6630,ewc,4,750,30,0.1413357173720205,0.3169392052347169
6631,ewc,4,750,31,0.19519639058834493,0.4172497716919373
6632,ewc,4,750,32,0.18094045598887792,0.409688273762728
6633,ewc,4,750,33,0.9219951742637861,2.48980728014848
6634,ewc,4,750,34,0.1600426256184211,0.36348222125227236
6635,ewc,4,750,35,0.1188549034064585,0.27685121318399547
6636,ewc,4,750,36,0.1970604100470058,0.45060807940653996
6637,ewc,4,750,37,0.10633779851279004,0.2507383419243521
6638,ewc,4,750,38,0.14159684584333748,0.28861642499575774
6639,ewc,4,750,39,0.35162015161594706,1.4702043104745395
6640,ewc,4,750,40,0.11990821696788632,0.26785928664732384
6641,ewc,4,750,41,0.12932907621295797,0.2916672249969129
6642,ewc,4,750,42,0.6254715875875673,2.1323799373160965
